timestamp,symbol,event_type,side,qty,price,position,position_id,order_id,status,notes
2026-04-16T14:52:27.103Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:52:27.853Z,EURUSD,position_opened,BUY,0.32,1.17749,1,7843682,2458788,ok,Bias scale-in long entry
2026-04-16T14:52:35.628Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:52:36.360Z,EURUSD,position_opened,BUY,0.32,1.17748,1,7843684,2458790,ok,Bias scale-in long entry
2026-04-16T14:52:59.615Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:53:00.346Z,EURUSD,position_opened,BUY,0.32,1.17744,1,7843688,2458794,ok,Bias scale-in long entry
2026-04-16T14:53:08.135Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:53:08.831Z,EURUSD,position_opened,BUY,0.32,1.17744,1,7843690,2458796,ok,Bias scale-in long entry
2026-04-16T14:53:16.617Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:53:17.362Z,EURUSD,position_opened,BUY,0.32,1.17742,1,7843692,2458798,ok,Bias scale-in long entry
2026-04-16T17:52:23.000Z,EURUSD,position_closed,BUY,0.32,1.17737,0,7843677,2458787,sl_hit,mt5-history:stop_loss
2026-04-16T17:52:30.000Z,EURUSD,position_closed,BUY,0.32,1.17733,0,7843682,2458789,sl_hit,mt5-history:stop_loss
2026-04-16T17:52:55.000Z,EURUSD,position_closed,BUY,0.32,1.17732,0,7843684,2458793,sl_hit,mt5-history:stop_loss
2026-04-16T17:53:00.000Z,EURUSD,position_closed,BUY,0.32,1.17728,0,7843688,2458795,sl_hit,mt5-history:stop_loss
2026-04-16T17:53:15.000Z,EURUSD,position_closed,BUY,0.32,1.17728,0,7843690,2458797,sl_hit,mt5-history:stop_loss
2026-04-16T14:53:25.122Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:53:25.853Z,EURUSD,position_opened,BUY,0.32,1.17743,1,7843695,2458801,ok,Bias scale-in long entry
2026-04-16T14:53:33.622Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:53:34.361Z,EURUSD,position_opened,BUY,0.32,1.17739,1,7843697,2458803,ok,Bias scale-in long entry
2026-04-16T14:53:42.138Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
