closed_at,symbol,side,entry_price,exit_price,qty,pnl,pnl_currency,trade_duration_seconds,entry_time,exit_time,source_type,strategy_name,risk_label,approval_score,ticket,position_id,close_event_key,close_reason,stop_loss,take_profit,max_favorable_excursion,max_adverse_excursion,session,regime,publicly_posted,notes
2026-04-16T16:32:20.000Z,EURUSD,BUY,1.17803,1.17787,0.32,-3.78,USD,21,2026-04-16T16:31:59.000Z,2026-04-16T16:32:20.000Z,strategy,bias,High,95,2456114,7841029,mt5-2456114,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:32:25.000Z,EURUSD,BUY,1.17798,1.17782,0.32,-3.78,USD,2,2026-04-16T16:32:23.000Z,2026-04-16T16:32:25.000Z,strategy,bias,High,95,2456116,7841033,mt5-2456116,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:32:31.000Z,EURUSD,BUY,1.17799,1.17784,0.32,-3.54,USD,0,2026-04-16T16:32:31.000Z,2026-04-16T16:32:31.000Z,strategy,bias,High,95,2456118,7841035,mt5-2456118,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:32:40.000Z,EURUSD,BUY,1.17798,1.17783,0.32,-3.54,USD,0,2026-04-16T16:32:40.000Z,2026-04-16T16:32:40.000Z,strategy,bias,High,95,2456120,7841037,mt5-2456120,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:37:22.000Z,EURUSD,BUY,1.17793,1.17777,0.32,-3.78,USD,274,2026-04-16T16:32:48.000Z,2026-04-16T16:37:22.000Z,strategy,bias,High,95,2456190,7841040,mt5-2456190,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:15:13.000Z,EURUSD,BUY,1.17788,1.17771,0.32,-4.02,USD,6,2026-04-16T17:15:07.000Z,2026-04-16T17:15:13.000Z,strategy,bias,High,95,2457543,7842420,mt5-2457543,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:20:43.000Z,EURUSD,BUY,1.17758,1.17743,0.32,-3.55,USD,25,2026-04-16T17:20:18.000Z,2026-04-16T17:20:43.000Z,strategy,bias,High,95,2457723,7842582,mt5-2457723,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:22:32.000Z,EURUSD,BUY,1.17757,1.17742,0.32,-3.55,USD,103,2026-04-16T17:20:49.000Z,2026-04-16T17:22:32.000Z,strategy,bias,High,95,2457754,7842608,mt5-2457754,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:27:03.000Z,EURUSD,BUY,1.17774,1.17758,0.32,-3.79,USD,40,2026-04-16T17:26:23.000Z,2026-04-16T17:27:03.000Z,strategy,bias,High,95,2457881,7842760,mt5-2457881,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:27:56.000Z,EURUSD,BUY,1.17773,1.17757,0.32,-3.79,USD,52,2026-04-16T17:27:04.000Z,2026-04-16T17:27:56.000Z,strategy,bias,High,95,2457900,7842769,mt5-2457900,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
