timestamp,symbol,cash,position,equity
2026-04-15T18:58:01.399Z,EURUSD,88117.56,-4,99706.83
2026-04-15T18:58:01.578Z,EURUSD,88117.56,-4,99706.83
2026-04-15T18:58:01.627Z,XAUUSD,88117.56,0,99706.83
2026-04-15T18:58:02.344Z,XAUUSD,88120.51,0,99709.78
2026-04-15T18:58:02.602Z,XAUUSD,88120.51,0,99709.78
2026-04-15T18:58:08.135Z,EURUSD,88111.66,-4,99700.93
2026-04-15T18:58:08.393Z,EURUSD,88111.66,-4,99700.93
2026-04-15T18:58:08.843Z,EURUSD,88111.66,-4,99700.93
2026-04-15T18:58:09.386Z,XAUUSD,88102.83,0,99692.1
2026-04-15T18:58:09.397Z,XAUUSD,88102.83,0,99692.1
2026-04-15T18:58:10.132Z,XAUUSD,88102.83,0,99692.1
2026-04-15T18:58:15.369Z,EURUSD,88091.06,-4,99680.33
2026-04-15T18:58:15.387Z,EURUSD,88091.06,-4,99680.33
2026-04-15T18:58:16.133Z,EURUSD,88091.06,-4,99680.33
2026-04-15T18:58:16.357Z,XAUUSD,88091.06,0,99680.33
2026-04-15T18:58:16.364Z,XAUUSD,88091.06,0,99680.33
2026-04-15T18:58:17.116Z,XAUUSD,88096.95,0,99686.22
2026-04-15T18:58:22.616Z,EURUSD,88105.79,-4,99695.06
2026-04-15T18:58:22.629Z,EURUSD,88105.79,-4,99695.06
2026-04-15T18:58:23.139Z,EURUSD,88105.79,-4,99695.06
2026-04-15T18:58:23.602Z,XAUUSD,88105.79,0,99695.06
2026-04-15T18:58:23.638Z,XAUUSD,88105.79,0,99695.06
2026-04-15T18:58:24.111Z,XAUUSD,88111.67,0,99700.94
2026-04-15T18:58:29.616Z,EURUSD,88117.55,-4,99706.82
2026-04-15T18:58:29.617Z,EURUSD,88117.55,-4,99706.82
2026-04-15T18:58:30.138Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:58:30.628Z,XAUUSD,88117.56,0,99706.83
2026-04-15T18:58:30.665Z,XAUUSD,88117.56,0,99706.83
2026-04-15T18:58:31.119Z,XAUUSD,88111.67,0,99700.94
2026-04-15T18:58:36.587Z,EURUSD,88108.71,-4,99697.98
2026-04-15T18:58:37.141Z,EURUSD,88108.71,-4,99697.98
2026-04-15T18:58:37.377Z,EURUSD,88108.71,-4,99697.98
2026-04-15T18:58:37.629Z,XAUUSD,88105.77,0,99695.04
2026-04-15T18:58:38.379Z,XAUUSD,88105.77,0,99695.04
2026-04-15T18:58:38.400Z,XAUUSD,88105.77,0,99695.04
2026-04-15T18:58:43.639Z,EURUSD,88120.5,-4,99709.77
2026-04-15T18:58:44.369Z,EURUSD,88120.5,-4,99709.77
2026-04-15T18:58:44.603Z,EURUSD,88120.5,-4,99709.77
2026-04-15T18:58:44.638Z,XAUUSD,88120.5,0,99709.77
2026-04-15T18:58:45.414Z,XAUUSD,88114.61,0,99703.88
2026-04-15T18:58:45.634Z,XAUUSD,88114.61,0,99703.88
2026-04-15T18:58:50.635Z,EURUSD,88111.66,-4,99700.93
2026-04-15T18:58:51.379Z,EURUSD,88117.55,-4,99706.82
2026-04-15T18:58:51.637Z,XAUUSD,88117.55,0,99706.82
2026-04-15T18:58:51.878Z,EURUSD,88117.55,-4,99706.82
2026-04-15T18:58:52.376Z,XAUUSD,88117.56,0,99706.83
2026-04-15T18:58:53.123Z,XAUUSD,88114.61,0,99703.88
2026-04-15T18:58:58.378Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:58:59.114Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:58:59.616Z,XAUUSD,88114.61,0,99703.88
2026-04-15T18:59:00.136Z,XAUUSD,88114.61,0,99703.88
2026-04-15T18:59:03.121Z,EURUSD,88111.67,-4,99700.94
2026-04-15T18:59:04.103Z,XAUUSD,88111.67,0,99700.94
2026-04-15T18:59:05.871Z,EURUSD,88111.67,-4,99700.94
2026-04-15T18:59:06.128Z,EURUSD,88111.67,-4,99700.94
2026-04-15T18:59:07.103Z,XAUUSD,88111.67,0,99700.94
2026-04-15T18:59:07.157Z,XAUUSD,88111.67,0,99700.94
2026-04-15T18:59:10.121Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:59:11.092Z,XAUUSD,88114.61,0,99703.88
2026-04-15T18:59:13.112Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:59:13.112Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:59:14.110Z,XAUUSD,88117.56,0,99706.83
2026-04-15T18:59:14.161Z,XAUUSD,88117.56,0,99706.83
2026-04-15T18:59:20.596Z,EURUSD,88117.55,-4,99706.82
2026-04-15T18:59:21.855Z,XAUUSD,88126.4,0,99715.67
2026-04-15T18:59:23.119Z,EURUSD,88108.72,-4,99697.99
2026-04-15T18:59:24.093Z,XAUUSD,88108.72,0,99697.99
2026-04-15T18:59:26.359Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:59:27.408Z,XAUUSD,88114.61,0,99703.88
2026-04-15T18:59:27.883Z,EURUSD,88114.61,-4,99703.88
2026-04-15T18:59:28.867Z,XAUUSD,88117.56,0,99706.83
2026-04-15T18:59:30.391Z,EURUSD,88123.45,-4,99712.72
2026-04-15T18:59:31.600Z,XAUUSD,88099.88,0,99689.15
2026-04-15T18:59:35.116Z,EURUSD,88099.89,-4,99689.16
2026-04-15T18:59:36.370Z,XAUUSD,88102.84,0,99692.11
2026-04-15T18:59:37.624Z,EURUSD,88102.84,-4,99692.11
2026-04-15T18:59:39.114Z,XAUUSD,88105.78,0,99695.05
2026-04-15T18:59:39.425Z,EURUSD,88105.78,-4,99695.05
2026-04-15T18:59:40.872Z,XAUUSD,88108.73,0,99698
2026-04-15T18:59:42.769Z,EURUSD,88108.73,-4,99698
2026-04-15T18:59:43.856Z,XAUUSD,88108.73,0,99698
2026-04-15T18:59:45.115Z,EURUSD,88111.68,-4,99700.95
2026-04-15T18:59:46.127Z,XAUUSD,88111.68,0,99700.95
2026-04-15T18:59:47.385Z,EURUSD,88111.68,-4,99700.95
2026-04-15T18:59:48.613Z,XAUUSD,88108.73,0,99698
2026-04-15T18:59:49.866Z,EURUSD,88108.73,-4,99698
2026-04-15T18:59:52.139Z,EURUSD,88108.73,-4,99698
2026-04-15T18:59:53.121Z,XAUUSD,88111.67,0,99700.94
2026-04-15T18:59:54.624Z,EURUSD,88114.62,-4,99703.89
2026-04-15T18:59:55.623Z,XAUUSD,88111.67,0,99700.94
